facility_code,unit_code,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,emissions_factor_co2,data_first_seen,data_last_seen,dispatch_type,commencement_date,commencement_date_specificity,commencement_date_display,closure_date,closure_date_specificity,closure_date_display,expected_operation_date,expected_operation_date_specificity,expected_operation_date_display,expected_closure_date,expected_closure_date_specificity,expected_closure_date_display,construction_start_date,construction_start_date_specificity,construction_start_date_display,project_approval_date,project_approval_date_specificity,project_approval_date_display,project_lodgement_date,created_at,updated_at
TORRIS,TORRA4,gas_steam,retired,120.0,120.0,NA,0.5758,1998-12-08 14:40:00+10:00,2020-09-17 17:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-09-09 00:12:56+00:00
TORRIS,TORRB2,gas_steam,operating,200.0,210.0,NA,0.5758,1998-12-09 05:40:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-10-05 22:52:49+00:00
TORRIS,TORRB1,gas_steam,operating,200.0,210.0,NA,0.5758,1998-12-08 05:40:00+10:00,2021-12-07 12:15:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-10-05 22:53:10+00:00
TORRIS,TORRA1,gas_steam,retired,120.0,120.0,NA,0.5758,1998-12-07 05:45:00+10:00,2020-09-17 18:10:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-09-09 00:12:24+00:00
TORRIS,TORRA2,gas_steam,retired,120.0,120.0,NA,0.5758,1998-12-07 06:55:00+10:00,2020-03-21 01:40:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-09-09 00:12:36+00:00
TORRIS,TORRA3,gas_steam,retired,120.0,120.0,NA,0.5758,1998-12-08 14:40:00+10:00,2021-12-07 12:15:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-09-09 00:12:48+00:00
TOWER,TOWER,gas_wcmg,operating,41.2,41.0,NA,0.7005,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-01-07 04:24:39+00:00
YABULU,YABULU,gas_ccgt,operating,160.0,174.0,NA,0.6046,1998-12-16 19:35:00+10:00,2025-10-30 20:25:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:33+00:00,2025-01-07 04:25:12+00:00
YABULU,YABULU2,gas_ccgt,operating,82.0,84.0,NA,0.6046,2004-12-08 18:10:00+10:00,2025-01-05 15:15:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:33+00:00,2025-01-07 04:25:28+00:00
TGNSS,TGNSS1,gas_recip,operating,10.0,10.0,NA,0.5399,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:25+00:00,2025-01-07 04:26:47+00:00
TREVALLN,TREVALLN,hydro,operating,93.0,107.0,NA,NA,2005-05-16 17:40:00+10:00,2025-11-01 09:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:26+00:00,2025-01-07 06:26:07+00:00
TRIBUTE,TRIBUTE,hydro,operating,82.8,92.0,NA,NA,2005-05-17 07:20:00+10:00,2025-11-01 08:50:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:26+00:00,2025-09-09 01:19:45+00:00
TRIBUTE,TRIBNL1,hydro,operating,25.0,NA,NA,NA,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:26+00:00,2025-01-07 06:26:51+00:00
